Date,Open,High,Low,Close,Adj Close,Volume
2013-12-02,25.625000,25.942308,25.192308,25.903847,21.374712,172792100
2013-12-09,25.894230,26.336538,25.461538,25.807692,21.295366,179447400
2013-12-16,25.903847,26.413462,25.798077,26.307692,21.707947,271390200
2013-12-23,26.375000,26.884615,26.221153,26.759615,22.266727,92319800
2013-12-30,26.769230,27.009615,26.355770,26.423077,21.986687,128090000
2014-01-06,26.596153,26.663462,25.826923,25.923077,21.570637,156097300
2014-01-13,25.942308,26.346153,25.269230,25.557692,21.266603,229961900
2014-01-20,25.701923,25.711538,23.990385,23.990385,19.962442,272754900
2014-01-27,24.288462,24.634615,23.942308,24.163462,20.106459,229873000
2014-02-03,24.163462,24.307692,23.384615,24.221153,20.154467,250652900
2014-02-10,24.413462,24.855770,23.971153,24.750000,20.594519,154029500
2014-02-17,25.009615,25.038462,23.980770,23.980770,19.954443,137831100
2014-02-24,24.057692,24.701923,24.000000,24.490385,20.563728,159274200
2014-03-03,24.240385,25.336538,23.961538,25.125000,21.096590,169699600
2014-03-10,25.115385,25.125000,24.125000,24.144230,20.273071,143434400
2014-03-17,24.288462,24.836538,24.144230,24.423077,20.507214,203337900
2014-03-24,24.509615,25.019230,24.230770,24.884615,20.894745,159597500
2014-03-31,25.019230,25.384615,24.759615,25.019230,21.007782,148084300
2014-04-07,24.951923,25.105770,24.451923,24.451923,20.531433,162391700
2014-04-14,24.596153,25.730770,24.451923,25.538462,21.443762,164849900
2014-04-21,25.605770,25.769230,25.221153,25.576923,21.476057,147496300
2014-04-28,25.692308,25.865385,25.509615,25.653847,21.540648,146287900
2014-05-05,25.663462,25.663462,25.182692,25.403847,21.330730,108439100
2014-05-12,25.557692,25.923077,25.307692,25.644230,21.532574,132661600
2014-05-19,25.528847,25.663462,25.144230,25.490385,21.403393,93093000
2014-05-26,25.528847,25.759615,25.432692,25.759615,21.629459,73301000
2014-06-02,25.682692,26.192308,25.432692,26.134615,21.944328,119093500
2014-06-09,26.019230,26.471153,25.846153,26.000000,21.831301,124509700
2014-06-16,25.913462,26.000000,25.634615,25.932692,21.774784,161803500
2014-06-23,26.009615,26.019230,25.192308,25.413462,21.521925,147928300
2014-06-30,25.423077,25.855770,25.211538,25.826923,21.872074,103504600
2014-07-07,25.769230,25.807692,25.096153,25.528847,21.619644,167302400
2014-07-14,25.605770,26.105770,25.240385,25.442308,21.546360,214915600
2014-07-21,25.317308,25.317308,24.730770,24.798077,21.000776,179486600
2014-07-28,24.682692,24.798077,23.798077,24.375000,20.642485,165923000
2014-08-04,24.355770,24.711538,23.990385,24.673077,20.894915,168921200
2014-08-11,24.846153,25.000000,24.528847,24.653847,20.878633,125854000
2014-08-18,24.875000,25.432692,24.855770,25.144230,21.293928,121442800
2014-08-25,25.144230,25.278847,24.903847,24.980770,21.155493,108887200
2014-09-01,24.894230,25.125000,24.778847,25.096153,21.253206,95965300
2014-09-08,25.134615,25.259615,24.807692,24.875000,21.065920,112675800
2014-09-15,24.836538,25.384615,24.759615,25.278847,21.407925,147976600
2014-09-22,25.182692,25.259615,24.451923,24.644230,21.053858,143903800
2014-09-29,24.384615,24.711538,24.048077,24.423077,20.864929,170338200
2014-10-06,24.615385,24.644230,23.278847,23.336538,19.936678,188495700
2014-10-13,23.307692,24.278847,22.778847,23.865385,20.388483,261324500
2014-10-20,23.951923,24.701923,23.759615,24.653847,21.062077,152990400
2014-10-27,24.673077,24.932692,24.346153,24.817308,21.201719,149059500
2014-11-03,24.509615,25.490385,24.500000,25.394230,21.694592,162090500
2014-11-10,25.394230,25.644230,25.230770,25.442308,21.735666,109944100
2014-11-17,25.451923,26.057692,25.403847,25.951923,22.171032,158602000
2014-11-24,25.971153,26.048077,25.423077,25.471153,21.760307,106606600
2014-12-01,25.153847,25.451923,24.855770,25.009615,21.366009,166958500
2014-12-08,24.884615,25.086538,23.903847,23.932692,20.445984,215687900
2014-12-15,24.057692,24.711538,23.134615,24.634615,21.045643,341442100
2014-12-22,24.663462,25.000000,24.576923,24.788462,21.384508,103460600
2014-12-29,24.711538,24.855770,23.913462,24.096153,20.787260,116656800
2015-01-05,24.048077,24.048077,23.009615,23.105770,19.932882,241258600
2015-01-12,23.144230,23.394230,22.509615,22.682692,19.567904,215455400
2015-01-19,22.923077,23.932692,22.644230,23.538462,20.306152,200489300
2015-01-26,23.769230,23.788462,22.865385,22.971153,19.816748,231270500
2015-02-02,23.076923,23.798077,22.980770,23.576923,20.339338,169772200
2015-02-09,23.528847,24.201923,23.509615,24.182692,20.861912,143950100
2015-02-16,24.153847,24.317308,23.846153,24.240385,20.911694,144191200
2015-02-23,24.250000,25.259615,24.125000,24.990385,21.764881,235185100
2015-03-02,24.884615,25.115385,24.355770,24.442308,21.287550,159379700
2015-03-09,24.538462,24.711538,23.855770,24.076923,20.969322,186993900
2015-03-16,24.096153,24.855770,24.000000,24.423077,21.270800,203481900
2015-03-23,24.500000,24.750000,23.721153,23.903847,20.818588,159077100
